<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.18,0.42,0.6,0.17,0.06,0.02,0.01,1161,0.06,0.02,350,1,6,21.9375
0.04,0.14,0.24,0.54,0.36,0.23,0.17,1392,0.29,0.12,350,1,43,103.125
0.04,0.13,0.24,0.53,0.36,0.23,0.16,1387,0.29,0.12,350,1,42,102.5
0.04,0.14,0.25,0.53,0.36,0.23,0.16,1422,0.29,0.12,350,1,41,101.4375
0.04,0.14,0.25,0.52,0.34,0.21,0.15,1416,0.28,0.11,350,1,40,97.75
0.04,0.15,0.26,0.51,0.34,0.21,0.14,1447,0.27,0.11,350,1,38,94.8125
0.05,0.15,0.25,0.51,0.34,0.21,0.14,1447,0.27,0.11,350,1,39,94.4375
0.05,0.15,0.25,0.52,0.34,0.21,0.14,1425,0.27,0.11,350,1,40,95.6875
0.06,0.16,0.26,0.52,0.34,0.21,0.14,1416,0.27,0.11,350,1,38,95.5
0.04,0.14,0.24,0.52,0.34,0.21,0.14,1425,0.27,0.11,350,1,40,96.25
0.05,0.13,0.21,0.54,0.36,0.23,0.16,1380,0.29,0.13,350,1,44,102.625
0.04,0.14,0.24,0.53,0.36,0.23,0.16,1418,0.29,0.12,350,1,42,102.4375
0.05,0.15,0.26,0.52,0.35,0.23,0.16,1479,0.28,0.11,350,1,39,99.1875
0.06,0.16,0.27,0.51,0.33,0.22,0.15,1512,0.28,0.11,350,1,37,96.5
0.04,0.15,0.23,0.51,0.33,0.21,0.15,1517,0.27,0.11,350,1,37,96.25
0.05,0.13,0.25,0.51,0.32,0.2,0.15,1546,0.27,0.11,350,1,37,94.25
0.05,0.16,0.26,0.53,0.32,0.21,0.15,1572,0.27,0.11,350,1,40,94.5625
0.05,0.14,0.25,0.53,0.33,0.21,0.15,1542,0.28,0.11,350,1,40,96.3125
0.05,0.16,0.26,0.52,0.33,0.2,0.15,1555,0.27,0.11,350,1,39,94.9375
0.06,0.17,0.26,0.52,0.33,0.2,0.14,1567,0.27,0.11,350,1,39,93.4375
0.05,0.16,0.27,0.52,0.32,0.19,0.14,1565,0.26,0.11,350,1,39,92.3125
0.05,0.15,0.26,0.5,0.32,0.19,0.13,1549,0.26,0.11,350,1,37,91.9375
0.04,0.14,0.25,0.51,0.32,0.19,0.14,1548,0.26,0.1,350,1,36,91.25
0.04,0.14,0.25,0.52,0.32,0.2,0.14,1532,0.26,0.11,350,1,39,92.0
0.05,0.17,0.27,0.49,0.31,0.19,0.13,1578,0.25,0.09,350,1,33,88.8125
0.06,0.15,0.25,0.51,0.3,0.19,0.14,1574,0.26,0.11,350,1,37,89.5
0.06,0.16,0.26,0.49,0.31,0.19,0.14,1579,0.25,0.09,350,1,33,89.0
0.06,0.16,0.27,0.5,0.31,0.2,0.14,1551,0.26,0.1,350,1,36,90.3125
0.05,0.16,0.26,0.48,0.32,0.19,0.13,1553,0.25,0.09,350,1,33,89.1875
0.05,0.16,0.26,0.48,0.31,0.19,0.13,1573,0.25,0.09,350,1,32,87.0
0.06,0.18,0.29,0.46,0.3,0.18,0.12,1603,0.24,0.08,350,1,29,83.75
0.06,0.18,0.28,0.48,0.29,0.18,0.12,1596,0.24,0.09,350,1,30,84.375
0.06,0.15,0.26,0.49,0.29,0.18,0.13,1522,0.25,0.09,350,1,33,86.625
0.06,0.18,0.29,0.47,0.28,0.17,0.12,1560,0.24,0.09,350,1,31,83.125
0.07,0.18,0.29,0.44,0.26,0.16,0.11,1631,0.22,0.08,350,1,27,78.3125
0.09,0.21,0.33,0.42,0.25,0.15,0.11,1693,0.21,0.07,350,1,23,75.1875
0.08,0.21,0.33,0.42,0.25,0.15,0.11,1748,0.21,0.07,350,1,23,73.25
0.08,0.2,0.31,0.43,0.23,0.15,0.1,1707,0.21,0.07,350,1,25,73.4375
0.08,0.2,0.31,0.44,0.25,0.15,0.11,1695,0.21,0.07,350,1,26,74.9375
0.07,0.2,0.31,0.43,0.23,0.15,0.12,1723,0.22,0.07,350,1,26,75.4375
0.17,0.44,0.62,0.16,0.06,0.02,0.01,1170,0.06,0.02,350,1,6,21.984375
0.08,0.21,0.32,0.43,0.26,0.17,0.13,1678,0.23,0.07,350,1,25,79.8125
0.08,0.21,0.32,0.43,0.25,0.16,0.13,1722,0.22,0.07,350,1,24,78.5
0.09,0.2,0.33,0.42,0.27,0.17,0.13,1715,0.23,0.06,350,1,22,79.4375
0.08,0.2,0.3,0.44,0.28,0.18,0.14,1624,0.24,0.08,350,1,27,84.375
0.09,0.21,0.33,0.45,0.28,0.18,0.14,1743,0.24,0.07,350,1,26,84.3125
0.09,0.21,0.31,0.45,0.29,0.18,0.13,1784,0.24,0.08,350,1,27,84.125
0.07,0.2,0.32,0.43,0.27,0.18,0.14,1836,0.24,0.07,350,1,24,83.4375
0.08,0.2,0.31,0.43,0.28,0.18,0.14,1833,0.24,0.07,350,1,26,84.9375
0.08,0.23,0.36,0.4,0.26,0.17,0.13,1997,0.22,0.06,350,1,21,78.75
0.09,0.24,0.37,0.39,0.23,0.16,0.12,2167,0.21,0.05,350,1,19,73.125
0.07,0.18,0.3,0.41,0.26,0.16,0.12,2080,0.22,0.07,350,1,24,77.75
0.08,0.2,0.32,0.4,0.23,0.15,0.11,2255,0.2,0.06,350,1,22,71.5625
0.07,0.2,0.33,0.42,0.25,0.15,0.11,2154,0.21,0.07,350,1,25,74.5625
0.08,0.2,0.31,0.42,0.24,0.15,0.1,2231,0.21,0.07,350,1,24,72.25
0.07,0.18,0.3,0.44,0.24,0.14,0.1,2212,0.21,0.08,350,1,27,72.8125
0.08,0.18,0.29,0.46,0.25,0.14,0.1,2164,0.21,0.08,350,1,29,73.6875
0.08,0.18,0.29,0.46,0.26,0.14,0.1,2116,0.21,0.09,350,1,30,75.1875
0.06,0.16,0.27,0.48,0.28,0.15,0.1,2055,0.22,0.09,350,1,32,77.6875
0.05,0.15,0.26,0.5,0.29,0.15,0.1,1969,0.23,0.1,350,1,34,80.0
0.06,0.16,0.26,0.5,0.29,0.16,0.1,1976,0.23,0.1,350,1,36,81.9375
0.06,0.14,0.23,0.52,0.3,0.16,0.11,1958,0.24,0.11,350,1,38,83.0
0.05,0.13,0.21,0.54,0.31,0.16,0.1,1900,0.24,0.12,350,1,41,84.25
0.06,0.15,0.24,0.52,0.29,0.16,0.1,1930,0.24,0.11,350,1,38,82.5625
0.06,0.14,0.23,0.51,0.3,0.16,0.1,1916,0.24,0.11,350,1,37,82.5625
0.06,0.16,0.26,0.51,0.27,0.14,0.09,2039,0.22,0.1,350,1,36,77.3125
0.07,0.18,0.29,0.45,0.27,0.13,0.09,2176,0.21,0.09,350,1,30,72.9375
0.07,0.21,0.33,0.4,0.21,0.11,0.08,2601,0.18,0.06,350,1,21,62.90625
0.07,0.2,0.3,0.45,0.26,0.13,0.09,2331,0.2,0.08,350,1,28,71.1875
0.09,0.22,0.35,0.38,0.21,0.11,0.08,2774,0.18,0.06,350,1,20,62.28125
0.1,0.24,0.37,0.37,0.22,0.12,0.08,2860,0.18,0.05,350,1,18,62.59375
0.08,0.23,0.36,0.39,0.21,0.11,0.07,3022,0.18,0.06,350,1,20,61.46875
0.06,0.17,0.28,0.47,0.27,0.14,0.09,2652,0.21,0.09,350,1,32,74.5
0.08,0.2,0.31,0.46,0.27,0.14,0.09,2728,0.21,0.08,350,1,29,73.25
0.07,0.17,0.28,0.45,0.26,0.13,0.09,2770,0.21,0.08,350,1,29,72.125
0.07,0.18,0.29,0.45,0.26,0.14,0.09,2737,0.21,0.08,350,1,28,72.75
0.06,0.17,0.27,0.45,0.25,0.14,0.09,2695,0.21,0.09,350,1,30,73.0
0.07,0.18,0.28,0.48,0.26,0.15,0.1,2575,0.22,0.09,350,1,32,76.8125
0.06,0.19,0.29,0.42,0.24,0.14,0.1,2776,0.2,0.08,350,1,27,71.375
0.07,0.19,0.3,0.41,0.24,0.14,0.09,2848,0.2,0.07,350,1,25,69.6875
0.15,0.39,0.59,0.1,0.03,0.01,0.01,1704,0.05,0.02,350,1,7,17.015625
0.07,0.2,0.3,0.41,0.23,0.12,0.08,2631,0.19,0.07,350,1,25,66.5625
0.06,0.17,0.31,0.41,0.24,0.13,0.09,2978,0.19,0.06,350,1,22,68.0625
0.07,0.18,0.3,0.41,0.24,0.13,0.09,2922,0.2,0.07,350,1,25,69.0625
0.07,0.2,0.32,0.41,0.23,0.13,0.09,2886,0.19,0.07,350,1,24,67.9375
0.07,0.18,0.29,0.38,0.22,0.12,0.09,2985,0.19,0.06,350,1,21,65.8125
0.07,0.19,0.34,0.34,0.2,0.11,0.08,3268,0.17,0.05,350,1,17,60.15625
0.07,0.19,0.3,0.41,0.23,0.13,0.09,2889,0.19,0.07,350,1,24,67.5625
0.07,0.18,0.28,0.4,0.22,0.13,0.09,2881,0.2,0.07,350,1,24,68.375
0.06,0.16,0.28,0.43,0.23,0.14,0.1,2793,0.2,0.08,350,1,27,70.625
0.06,0.17,0.28,0.42,0.22,0.14,0.1,2764,0.2,0.08,350,1,27,70.3125
0.06,0.16,0.27,0.41,0.22,0.14,0.1,2740,0.2,0.07,350,1,26,70.1875
0.05,0.15,0.26,0.39,0.22,0.14,0.11,2753,0.2,0.07,350,1,24,70.8125
0.06,0.16,0.26,0.42,0.24,0.15,0.11,2606,0.21,0.08,350,1,27,74.1875
0.06,0.15,0.25,0.45,0.26,0.16,0.11,2517,0.22,0.09,350,1,30,77.0625
0.05,0.14,0.24,0.48,0.27,0.17,0.11,2409,0.23,0.09,350,1,33,80.3125
0.06,0.15,0.25,0.49,0.29,0.16,0.11,2438,0.23,0.1,350,1,34,81.125
0.05,0.16,0.26,0.48,0.3,0.17,0.11,2422,0.24,0.09,350,1,33,83.5
0.06,0.17,0.28,0.45,0.28,0.17,0.11,2578,0.23,0.08,350,1,28,79.1875
0.07,0.18,0.3,0.43,0.28,0.16,0.11,2628,0.22,0.08,350,1,27,77.625
0.06,0.17,0.29,0.42,0.25,0.15,0.09,2769,0.21,0.07,350,1,25,73.125
0.07,0.18,0.29,0.43,0.25,0.13,0.09,2731,0.2,0.08,350,1,27,71.625
0.06,0.18,0.28,0.41,0.23,0.13,0.09,2816,0.2,0.07,350,1,24,69.5625
0.05,0.15,0.25,0.45,0.26,0.15,0.1,2641,0.22,0.08,350,1,29,76.5625
0.05,0.15,0.26,0.46,0.26,0.15,0.1,2707,0.22,0.09,350,1,30,76.875
0.06,0.15,0.26,0.43,0.25,0.14,0.1,2771,0.21,0.08,350,1,27,74.1875
0.06,0.17,0.28,0.39,0.22,0.12,0.08,3028,0.19,0.07,350,1,23,66.125
0.05,0.16,0.27,0.39,0.21,0.11,0.07,3199,0.18,0.07,350,1,24,62.78125
0.05,0.16,0.27,0.39,0.2,0.11,0.07,3277,0.18,0.07,350,1,24,62.5
0.06,0.17,0.27,0.39,0.22,0.12,0.09,3224,0.19,0.07,350,1,23,65.9375
0.06,0.17,0.27,0.42,0.22,0.12,0.08,3162,0.19,0.07,350,1,26,66.8125
0.06,0.16,0.27,0.45,0.25,0.13,0.08,3056,0.2,0.08,350,1,29,71.3125
0.06,0.19,0.31,0.4,0.22,0.11,0.07,3424,0.18,0.07,350,1,23,63.65625
0.07,0.17,0.29,0.41,0.23,0.12,0.08,3054,0.19,0.07,350,1,24,66.375
0.07,0.19,0.31,0.39,0.21,0.11,0.07,2825,0.18,0.06,350,1,22,62.40625
0.07,0.19,0.32,0.37,0.21,0.12,0.08,2520,0.18,0.05,350,1,19,62.75
0.08,0.2,0.36,0.36,0.19,0.11,0.07,2971,0.17,0.05,350,1,17,58.65625
0.07,0.18,0.29,0.41,0.22,0.12,0.08,3020,0.19,0.07,350,1,26,66.5625
0.07,0.19,0.33,0.38,0.2,0.11,0.07,3501,0.18,0.06,350,1,21,61.25
0.07,0.17,0.28,0.42,0.22,0.12,0.08,3275,0.19,0.07,350,1,26,66.8125
0.11,0.31,0.53,0.12,0.04,0.02,0.01,1568,0.06,0.03,350,1,9,20.46875
0.06,0.16,0.3,0.41,0.24,0.14,0.09,2872,0.2,0.07,350,1,24,71.0625
0.06,0.17,0.31,0.44,0.27,0.14,0.09,2772,0.21,0.07,350,1,25,74.0625
0.05,0.15,0.27,0.45,0.26,0.15,0.1,2724,0.22,0.08,350,1,28,76.0
0.05,0.17,0.3,0.42,0.24,0.14,0.1,2794,0.21,0.07,350,1,25,72.0
0.06,0.16,0.3,0.41,0.26,0.15,0.1,2731,0.21,0.07,350,1,23,72.375
0.08,0.2,0.39,0.36,0.2,0.13,0.09,3103,0.18,0.05,350,1,16,62.53125
0.06,0.18,0.31,0.39,0.21,0.13,0.09,2791,0.19,0.07,350,1,23,66.625
0.06,0.18,0.33,0.34,0.19,0.11,0.08,3151,0.17,0.05,350,1,18,59.875
0.06,0.15,0.27,0.4,0.22,0.13,0.09,2806,0.19,0.07,350,1,24,67.1875
0.07,0.21,0.38,0.37,0.22,0.12,0.08,3143,0.18,0.05,350,1,17,62.125
0.06,0.16,0.3,0.45,0.25,0.14,0.09,2731,0.21,0.08,350,1,28,72.25
0.06,0.18,0.29,0.47,0.27,0.14,0.09,2673,0.21,0.09,350,1,30,73.625
0.06,0.16,0.26,0.49,0.27,0.13,0.09,2553,0.21,0.1,350,1,34,74.125
0.06,0.18,0.28,0.44,0.24,0.13,0.08,2727,0.2,0.08,350,1,27,69.25
0.06,0.16,0.27,0.5,0.28,0.15,0.1,2434,0.22,0.1,350,1,36,78.5625
0.06,0.17,0.27,0.45,0.25,0.14,0.1,2562,0.21,0.08,350,1,29,74.4375
0.07,0.19,0.31,0.4,0.23,0.13,0.1,2749,0.2,0.07,350,1,23,68.9375
0.08,0.19,0.3,0.44,0.24,0.14,0.1,2483,0.21,0.08,350,1,28,72.75
0.08,0.24,0.41,0.35,0.2,0.12,0.09,2765,0.18,0.04,350,1,15,62.25
0.07,0.22,0.34,0.4,0.24,0.15,0.11,2246,0.21,0.06,350,1,22,72.75
0.07,0.18,0.3,0.46,0.29,0.18,0.13,1870,0.24,0.08,350,1,28,84.375
0.05,0.16,0.28,0.46,0.29,0.19,0.14,1731,0.25,0.08,350,1,29,86.75
