<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.18,0.42,0.6,0.01,0.0,0.0,0.0,1167,0.01,0.0,4000,1,6,28.359375
0.04,0.13,0.24,0.12,0.04,0.01,0.01,1398,0.05,0.01,4000,1,41,185.25
0.04,0.13,0.24,0.12,0.04,0.01,0.01,1392,0.05,0.01,4000,1,40,186.125
0.04,0.14,0.25,0.12,0.04,0.01,0.01,1391,0.05,0.01,4000,1,40,185.875
0.04,0.15,0.26,0.11,0.04,0.01,0.01,1431,0.05,0.01,4000,1,39,181.125
0.05,0.16,0.27,0.11,0.03,0.01,0.01,1460,0.04,0.01,4000,1,37,175.0
0.06,0.16,0.26,0.1,0.03,0.01,0.01,1460,0.04,0.01,4000,1,37,168.125
0.05,0.16,0.27,0.1,0.03,0.01,0.01,1438,0.04,0.01,4000,1,39,167.5
0.06,0.17,0.27,0.1,0.03,0.01,0.01,1449,0.04,0.01,4000,1,36,170.0
0.04,0.15,0.26,0.1,0.04,0.01,0.01,1458,0.04,0.01,4000,1,36,175.75
0.05,0.13,0.23,0.11,0.04,0.01,0.0,1413,0.05,0.01,4000,1,40,184.75
0.04,0.14,0.25,0.11,0.04,0.01,0.0,1428,0.05,0.01,4000,1,40,183.25
0.05,0.15,0.26,0.11,0.04,0.01,0.0,1489,0.04,0.01,4000,1,39,176.75
0.06,0.16,0.27,0.11,0.03,0.01,0.0,1522,0.04,0.01,4000,1,37,171.625
0.05,0.15,0.24,0.11,0.03,0.01,0.0,1528,0.04,0.01,4000,1,37,170.0
0.05,0.14,0.25,0.11,0.04,0.01,0.01,1556,0.04,0.01,4000,1,37,167.75
0.05,0.16,0.27,0.11,0.03,0.01,0.01,1555,0.04,0.01,4000,1,39,172.0
0.05,0.15,0.25,0.11,0.03,0.02,0.01,1517,0.04,0.01,4000,1,39,178.75
0.06,0.16,0.26,0.11,0.03,0.02,0.01,1524,0.04,0.01,4000,1,38,178.0
0.06,0.17,0.26,0.11,0.03,0.02,0.01,1539,0.04,0.01,4000,1,38,177.0
0.05,0.16,0.26,0.1,0.03,0.01,0.01,1610,0.04,0.01,4000,1,38,167.5
0.05,0.15,0.25,0.11,0.03,0.01,0.01,1590,0.04,0.01,4000,1,37,171.0
0.04,0.14,0.24,0.1,0.03,0.01,0.01,1598,0.04,0.01,4000,1,36,165.375
0.05,0.14,0.25,0.1,0.03,0.01,0.01,1581,0.04,0.01,4000,1,38,165.375
0.05,0.17,0.28,0.1,0.03,0.01,0.01,1516,0.04,0.01,4000,1,33,167.0
0.05,0.15,0.25,0.1,0.03,0.01,0.01,1517,0.04,0.01,4000,1,37,164.0
0.06,0.16,0.26,0.09,0.04,0.01,0.01,1509,0.04,0.01,4000,1,34,162.75
0.06,0.16,0.27,0.1,0.03,0.01,0.01,1477,0.04,0.01,4000,1,36,163.5
0.05,0.15,0.24,0.1,0.03,0.01,0.01,1529,0.04,0.01,4000,1,33,159.125
0.05,0.15,0.25,0.09,0.03,0.01,0.01,1565,0.04,0.01,4000,1,33,152.75
0.06,0.17,0.28,0.08,0.03,0.01,0.01,1590,0.04,0.01,4000,1,31,150.5
0.06,0.17,0.28,0.09,0.03,0.01,0.01,1566,0.04,0.01,4000,1,32,151.875
0.06,0.16,0.27,0.09,0.03,0.01,0.01,1607,0.04,0.01,4000,1,32,157.625
0.06,0.18,0.29,0.09,0.03,0.01,0.01,1639,0.04,0.01,4000,1,30,154.0
0.07,0.18,0.3,0.08,0.03,0.01,0.01,1710,0.04,0.01,4000,1,26,148.0
0.08,0.21,0.33,0.07,0.03,0.02,0.01,1770,0.04,0.01,4000,1,22,146.125
0.08,0.21,0.33,0.08,0.04,0.02,0.01,1739,0.04,0.01,4000,1,23,148.875
0.07,0.2,0.31,0.08,0.04,0.02,0.01,1709,0.04,0.01,4000,1,25,151.375
0.08,0.2,0.31,0.09,0.04,0.01,0.01,1700,0.04,0.01,4000,1,26,149.0
0.07,0.19,0.31,0.09,0.04,0.01,0.01,1707,0.04,0.01,4000,1,26,152.25
0.17,0.46,0.63,0.01,0.0,0.0,0.0,1135,0.01,0.0,4000,1,5,31.25
0.08,0.21,0.32,0.11,0.04,0.01,0.01,1662,0.04,0.01,4000,1,25,159.125
0.08,0.22,0.33,0.1,0.04,0.01,0.01,1720,0.04,0.01,4000,1,23,155.625
0.09,0.21,0.34,0.09,0.04,0.01,0.01,1739,0.04,0.01,4000,1,21,155.25
0.07,0.19,0.3,0.1,0.04,0.01,0.01,1635,0.04,0.01,4000,1,28,164.0
0.09,0.22,0.33,0.1,0.03,0.01,0.01,1739,0.04,0.01,4000,1,26,152.625
0.09,0.21,0.31,0.1,0.03,0.01,0.01,1803,0.04,0.01,4000,1,28,153.0
0.07,0.2,0.31,0.1,0.03,0.01,0.0,1860,0.04,0.01,4000,1,25,148.75
0.08,0.2,0.3,0.1,0.03,0.01,0.0,1855,0.04,0.01,4000,1,26,149.5
0.08,0.23,0.36,0.1,0.03,0.01,0.0,2004,0.03,0.01,4000,1,21,139.125
0.09,0.23,0.37,0.09,0.03,0.01,0.0,2180,0.03,0.0,4000,1,19,129.125
0.07,0.18,0.3,0.09,0.03,0.01,0.0,2096,0.03,0.01,4000,1,24,135.125
0.08,0.2,0.32,0.08,0.03,0.01,0.0,2172,0.03,0.01,4000,1,23,130.375
0.07,0.2,0.32,0.08,0.03,0.01,0.01,2083,0.03,0.01,4000,1,26,135.875
0.08,0.2,0.31,0.07,0.03,0.01,0.0,2160,0.03,0.01,4000,1,25,131.0
0.07,0.18,0.3,0.07,0.02,0.01,0.01,2143,0.03,0.01,4000,1,28,128.625
0.08,0.18,0.3,0.07,0.02,0.01,0.01,2161,0.03,0.01,4000,1,28,125.0625
0.07,0.18,0.29,0.07,0.02,0.01,0.0,2116,0.03,0.01,4000,1,29,124.1875
0.06,0.17,0.28,0.06,0.02,0.01,0.0,2065,0.03,0.01,4000,1,31,123.5625
0.05,0.15,0.26,0.07,0.02,0.01,0.0,1985,0.03,0.01,4000,1,33,127.3125
0.06,0.16,0.26,0.07,0.02,0.01,0.0,1999,0.03,0.01,4000,1,35,126.3125
0.05,0.14,0.23,0.07,0.02,0.01,0.0,1983,0.03,0.01,4000,1,37,126.25
0.05,0.13,0.21,0.07,0.02,0.01,0.0,1924,0.03,0.01,4000,1,40,129.625
