<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.14,0.32,0.48,0.2,0.11,0.05,0.03,520,0.09,0.02,500,1,11,47.40625
0.04,0.11,0.19,0.56,0.39,0.27,0.2,601,0.33,0.14,500,1,72,163.5
0.03,0.11,0.19,0.56,0.39,0.27,0.21,599,0.33,0.14,500,1,71,162.75
0.03,0.12,0.2,0.56,0.4,0.26,0.2,600,0.32,0.14,500,1,70,161.5
0.03,0.13,0.19,0.56,0.39,0.26,0.2,596,0.32,0.14,500,1,71,161.5
0.03,0.13,0.22,0.55,0.38,0.26,0.2,610,0.32,0.13,500,1,67,158.375
0.04,0.12,0.21,0.56,0.39,0.26,0.19,608,0.32,0.13,500,1,67,159.5
0.05,0.15,0.24,0.56,0.39,0.27,0.2,607,0.32,0.13,500,1,66,159.5
0.05,0.13,0.21,0.56,0.39,0.27,0.19,605,0.32,0.13,500,1,67,157.625
0.04,0.12,0.19,0.56,0.39,0.26,0.19,604,0.32,0.14,500,1,70,159.375
0.04,0.11,0.18,0.58,0.4,0.27,0.2,594,0.33,0.14,500,1,71,164.125
0.03,0.13,0.2,0.55,0.39,0.28,0.21,607,0.33,0.14,500,1,69,162.5
0.03,0.14,0.22,0.55,0.38,0.28,0.21,606,0.33,0.14,500,1,68,163.625
0.03,0.12,0.2,0.56,0.38,0.27,0.21,608,0.33,0.13,500,1,67,162.875
0.04,0.13,0.2,0.55,0.39,0.27,0.19,617,0.32,0.13,500,1,66,160.875
0.04,0.12,0.2,0.55,0.39,0.27,0.19,625,0.32,0.13,500,1,64,159.5
0.03,0.13,0.22,0.54,0.39,0.26,0.2,639,0.32,0.13,500,1,66,159.0
0.04,0.12,0.2,0.56,0.39,0.27,0.2,621,0.32,0.13,500,1,64,162.0
0.05,0.13,0.22,0.56,0.37,0.27,0.19,643,0.31,0.13,500,1,64,155.875
0.03,0.12,0.2,0.56,0.38,0.25,0.18,645,0.31,0.13,500,1,64,155.625
0.04,0.13,0.22,0.54,0.37,0.25,0.19,646,0.31,0.12,500,1,60,154.25
0.03,0.12,0.19,0.55,0.38,0.25,0.19,634,0.31,0.12,500,1,61,155.875
0.03,0.1,0.16,0.54,0.37,0.24,0.19,632,0.31,0.13,500,1,66,156.625
0.03,0.1,0.17,0.56,0.38,0.26,0.2,617,0.32,0.14,500,1,70,159.375
0.05,0.13,0.22,0.52,0.36,0.25,0.2,630,0.31,0.11,500,1,57,153.75
0.03,0.11,0.19,0.54,0.36,0.24,0.2,630,0.31,0.13,500,1,65,152.75
0.06,0.14,0.23,0.53,0.38,0.25,0.19,627,0.31,0.12,500,1,60,154.125
0.04,0.11,0.19,0.54,0.38,0.25,0.19,615,0.31,0.13,500,1,65,156.625
0.04,0.13,0.21,0.5,0.36,0.24,0.17,662,0.3,0.1,500,1,50,147.875
0.04,0.11,0.19,0.53,0.37,0.24,0.18,654,0.3,0.12,500,1,59,150.0
0.04,0.13,0.23,0.51,0.37,0.23,0.17,662,0.29,0.11,500,1,55,146.125
0.04,0.13,0.22,0.52,0.36,0.24,0.16,658,0.29,0.11,500,1,56,145.125
0.07,0.15,0.24,0.52,0.35,0.22,0.16,682,0.28,0.11,500,1,54,138.5
0.06,0.15,0.24,0.51,0.33,0.22,0.16,684,0.27,0.1,500,1,52,135.375
0.07,0.15,0.23,0.47,0.29,0.19,0.15,710,0.26,0.09,500,1,45,128.0
0.08,0.19,0.28,0.47,0.28,0.19,0.14,754,0.25,0.08,500,1,42,122.8125
